TeamID,Team,Region,Country,Track,Division,Size,Status,Year,Section,Medal,Finalist,Winner
2307,Bordeaux,Europe,France,Foundational Advance,Collegiate,24,Accepted,2017,Overgrad,bronze,0,0
2636,Bordeaux,Europe,France,Environment,Collegiate,19,Accepted,2018,Overgrad,none,0,0
783,BostonU,North America,United States,Information Processing,Collegiate,7,Accepted,2012,IGEM,gold,0,0
1114,BostonU,North America,United States,Foundational Advance,Collegiate,10,Accepted,2013,Undergrad,gold,0,0
1401,BostonU,North America,United States,Measurement,Collegiate,5,Accepted,2014,Undergrad,gold,0,0
1733,BostonU,North America,United States,Foundational Advance,Collegiate,10,Accepted,2015,Undergrad,gold,0,0
1875,BostonU,North America,United States,Foundational Advance,Collegiate,11,Accepted,2016,Undergrad,gold,0,0
2411,BostonU,North America,United States,Foundational Advance,Collegiate,13,Accepted,2017,Undergrad,silver,0,0
2805,BostonU,North America,United States,Foundational Advance,Collegiate,6,Accepted,2018,Undergrad,silver,0,0
1876,BostonU_HW,North America,United States,Hardware,Collegiate,11,Accepted,2016,Undergrad,gold,0,0
2409,BostonU_HW,North America,United States,Hardware,Collegiate,10,Accepted,2017,Undergrad,gold,0,0
2661,BostonU_HW,North America,United States,Open,Collegiate,7,Accepted,2018,Undergrad,gold,0,0
53,Boston_University,North America,United States,Energy,Collegiate,6,Accepted,2007,IGEM,bronze,0,0
2337,Botchan_Lab_Tokyo,Asia,Japan,Food & Nutrition,Collegiate,14,Accepted,2017,Undergrad,bronze,0,0
2786,Botchan_Lab_Tokyo,Asia,Japan,Food & Nutrition,Collegiate,20,Accepted,2018,Undergrad,silver,0,0
1521,Brasil-SP,Latin America,Brazil,Health & Medicine,Collegiate,36,Accepted,2014,Overgrad,bronze,0,0
1819,Brasil-USP,Latin America,Brazil,Environment,Collegiate,26,Accepted,2015,Overgrad,gold,0,0
1073,Braunschweig,Europe,Germany,New Application,Collegiate,13,Accepted,2013,Overgrad,gold,0,0
1390,Braunschweig,Europe,Germany,Environment,Collegiate,14,Accepted,2014,Overgrad,gold,0,0
2293,Bristol,Europe,United Kingdom,Environment,Collegiate,14,Accepted,2017,Undergrad,bronze,0,0
206,British_Columbia,North America,Canada,Foundational Advance,Collegiate,14,Accepted,2009,IGEM,gold,0,0
391,British_Columbia,North America,Canada,Foundational Advance,Collegiate,12,Accepted,2010,IGEM,bronze,0,0
517,British_Columbia,North America,Canada,Manufacturing,Collegiate,12,Accepted,2011,IGEM,gold,0,0
804,British_Columbia,North America,Canada,Foundational Advance,Collegiate,15,Accepted,2012,IGEM,gold,0,0
1129,British_Columbia,North America,Canada,Food & Energy,Collegiate,18,Accepted,2013,Undergrad,gold,0,0
1450,British_Columbia,North America,Canada,New Application,Collegiate,23,Accepted,2014,Undergrad,bronze,0,0
1813,British_Columbia,North America,Canada,Environment,Collegiate,21,Accepted,2015,Undergrad,gold,0,0
2139,British_Columbia,North America,Canada,Manufacturing,Collegiate,17,Accepted,2016,Undergrad,gold,0,0
2433,British_Columbia,North America,Canada,Environment,Collegiate,21,Accepted,2017,Undergrad,silver,0,0
2700,British_Columbia,North America,Canada,Manufacturing,Collegiate,17,Accepted,2018,Undergrad,bronze,0,0
2185,BroadRun-Baltimore,North America,United States,High School,High_school,8,Accepted,2016,High_school,gold,0,0
1871,BroadRun-NorthernVA,North America,United States,High School,High_school,9,Accepted,2015,High_school,silver,0,0
2811,BrockU,North America,Canada,New Application,Collegiate,12,Accepted,2018,Overgrad,bronze,0,0
21,Brown,North America,Usa,Environment,Collegiate,15,Accepted,2007,IGEM,gold,0,0
124,Brown,North America,United States,,Collegiate,7,Accepted,2008,IGEM,bronze,0,0
212,Brown,North America,United States,Health/Medicine,Collegiate,12,Accepted,2009,IGEM,bronze,0,0
324,Brown,North America,United States,Manufacturing,Collegiate,10,Accepted,2010,IGEM,bronze,0,0
441,Brown,North America,,,Collegiate,29,Accepted,2006,IGEM,blocked,0,0
656,Brown-Stanford,North America,United States,New Application,Collegiate,12,Accepted,2011,IGEM,gold,1,0
165,BrownTwo,North America,United States,,Collegiate,5,Accepted,2008,IGEM,silver,0,0
439,BU,North America,,,Collegiate,17,Accepted,2006,IGEM,blocked,0,0
489,BU,North America,,,Collegiate,11,Accepted,2004,IGEM,blocked,0,0
1513,BUCT-China,Asia,China,Environment,Collegiate,18,Accepted,2014,Undergrad,bronze,0,0
2782,BUCT-China,Asia,China,Environment,Collegiate,6,Accepted,2018,Undergrad,bronze,0,0
792,Buenos_Aires,Latin America,Argentina,Foundational Advance,Collegiate,10,Accepted,2012,IGEM,bronze,0,0
1106,Buenos_Aires,Latin America,Argentina,Environment,Collegiate,16,Accepted,2013,Overgrad,gold,1,0
1550,BUGSS_Baltimore,North America,United States,Community Labs,Community_lab,12,Accepted,2014,Overgrad,none,0,0
2171,Bulgaria,Europe,Bulgaria,Food & Nutrition,Collegiate,16,Accepted,2016,Undergrad,bronze,0,0
2515,Bulgaria,Europe,Bulgaria,Manufacturing,Collegiate,11,Accepted,2017,Undergrad,silver,0,0
2847,Bulgaria,Europe,Bulgaria,Diagnostics,Collegiate,6,Accepted,2018,Undergrad,bronze,0,0
577,BU_Wellesley_Software,North America,United States,Software Tools,Collegiate,25,Accepted,2011,IGEM,gold,0,0
704,BVCAPS_Kansas,North America,United States,,High_school,10,Accepted,2012,IGEM,blocked,0,0
705,BVCAPS_Research_KS,North America,United States,,High_school,7,Accepted,2012,IGEM,blocked,0,0
977,BV_CAPS_Kansas,North America,United States,Food & Energy(P),High_school,11,Accepted,2013,High_school,blocked,0,0
833,BYUProvo,North America,United States,Health & Medicine,Collegiate,20,Accepted,2012,IGEM,gold,0,0
619,BYU_Provo,North America,United States,Information Processing,Collegiate,12,Accepted,2011,IGEM,gold,0,0
1195,BYU_Provo,North America,United States,Foundational Advance,Collegiate,14,Accepted,2013,Overgrad,gold,0,0
1356,BYU_Provo,North America,United States,Health & Medicine,Collegiate,14,Accepted,2014,Overgrad,silver,0,0
2248,Cadets2Vets,North America,United States,Environment,Community_lab,22,Accepted,2017,Overgrad,bronze,0,0
1854,Cairo_Egypt,Africa,Egypt,Health & Medicine,Collegiate,22,Accepted,2015,Undergrad,bronze,0,0
37,Calgary,North America,Canada,Foundational Research,Collegiate,13,Accepted,2007,IGEM,gold,0,0
218,Calgary,North America,Canada,Foundational Advance,Collegiate,16,Accepted,2009,IGEM,gold,0,0
